pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category
1,1,hawaiian_m,1,1/1/2015,11:38:36,13.25,13.25,M,Classic
2,2,classic_dlx_m,1,1/1/2015,11:57:40,16,16,M,Classic
3,2,five_cheese_l,1,1/1/2015,11:57:40,18.5,18.5,L,Veggie
4,2,ital_supr_l,1,1/1/2015,11:57:40,20.75,20.75,L,Supreme
5,2,mexicana_m,1,1/1/2015,11:57:40,16,16,M,Veggie
6,2,thai_ckn_l,1,1/1/2015,11:57:40,20.75,20.75,L,Chicken
7,3,ital_supr_m,1,1/1/2015,12:12:28,16.5,16.5,M,Supreme
8,3,prsc_argla_l,1,1/1/2015,12:12:28,20.75,20.75,L,Supreme
9,4,ital_supr_m,1,1/1/2015,12:16:31,16.5,16.5,M,Supreme
10,5,ital_supr_m,1,1/1/2015,12:21:30,16.5,16.5,M,Supreme
11,6,bbq_ckn_s,1,1/1/2015,12:29:36,12.75,12.75,S,Chicken
12,6,the_greek_s,1,1/1/2015,12:29:36,12,12,S,Classic
13,7,spinach_supr_s,1,1/1/2015,12:50:37,12.5,12.5,S,Supreme
14,8,spinach_supr_s,1,1/1/2015,12:51:37,12.5,12.5,S,Supreme
15,9,classic_dlx_s,1,1/1/2015,12:52:01,12,12,S,Classic
16,9,green_garden_s,1,1/1/2015,12:52:01,12,12,S,Veggie
17,9,ital_cpcllo_l,1,1/1/2015,12:52:01,20.5,20.5,L,Classic
18,9,ital_supr_l,1,1/1/2015,12:52:01,20.75,20.75,L,Supreme
19,9,ital_supr_s,1,1/1/2015,12:52:01,12.5,12.5,S,Supreme
20,9,mexicana_s,1,1/1/2015,12:52:01,12,12,S,Veggie
21,9,spicy_ital_l,1,1/1/2015,12:52:01,20.75,20.75,L,Supreme
22,9,spin_pesto_l,1,1/1/2015,12:52:01,20.75,20.75,L,Veggie
23,9,veggie_veg_s,1,1/1/2015,12:52:01,12,12,S,Veggie
24,10,mexicana_l,1,1/1/2015,13:00:15,20.25,20.25,L,Veggie
25,10,southw_ckn_l,1,1/1/2015,13:00:15,20.75,20.75,L,Chicken
26,11,bbq_ckn_l,1,1/1/2015,13:02:59,20.75,20.75,L,Chicken
27,11,cali_ckn_l,1,1/1/2015,13:02:59,20.75,20.75,L,Chicken
28,11,cali_ckn_m,1,1/1/2015,13:02:59,16.75,16.75,M,Chicken
29,11,pepperoni_l,1,1/1/2015,13:02:59,15.25,15.25,L,Classic
30,12,cali_ckn_l,1,1/1/2015,13:04:41,20.75,20.75,L,Chicken
31,12,cali_ckn_s,1,1/1/2015,13:04:41,12.75,12.75,S,Chicken
32,12,ckn_pesto_l,1,1/1/2015,13:04:41,20.75,20.75,L,Chicken
33,12,ital_supr_m,1,1/1/2015,13:04:41,16.5,16.5,M,Supreme
34,13,mexicana_l,1,1/1/2015,13:11:55,20.25,20.25,L,Veggie
35,14,the_greek_s,1,1/1/2015,13:14:19,12,12,S,Classic
36,15,big_meat_s,1,1/1/2015,13:33:00,12,12,S,Classic
37,15,five_cheese_l,1,1/1/2015,13:33:00,18.5,18.5,L,Veggie
38,15,soppressata_l,1,1/1/2015,13:33:00,20.75,20.75,L,Supreme
39,15,the_greek_s,1,1/1/2015,13:33:00,12,12,S,Classic
40,16,four_cheese_l,1,1/1/2015,13:34:07,17.95,17.95,L,Veggie
41,16,napolitana_s,1,1/1/2015,13:34:07,12,12,S,Classic
42,16,thai_ckn_l,1,1/1/2015,13:34:07,20.75,20.75,L,Chicken
43,17,bbq_ckn_l,1,1/1/2015,13:53:00,20.75,20.75,L,Chicken
44,17,calabrese_m,1,1/1/2015,13:53:00,16.25,16.25,M,Supreme
45,17,five_cheese_l,1,1/1/2015,13:53:00,18.5,18.5,L,Veggie
46,17,four_cheese_m,1,1/1/2015,13:53:00,14.75,14.75,M,Veggie
47,17,ital_supr_m,1,1/1/2015,13:53:00,16.5,16.5,M,Supreme
48,17,ital_veggie_s,1,1/1/2015,13:53:00,12.75,12.75,S,Veggie
49,17,mediterraneo_m,2,1/1/2015,13:53:00,16,32,M,Veggie
50,17,mexicana_l,1,1/1/2015,13:53:00,20.25,20.25,L,Veggie
51,17,peppr_salami_s,1,1/1/2015,13:53:00,12.5,12.5,S,Supreme
52,17,spinach_fet_l,1,1/1/2015,13:53:00,20.25,20.25,L,Veggie
53,18,napolitana_l,1,1/1/2015,13:57:08,20.5,20.5,L,Classic
54,19,ital_cpcllo_l,1,1/1/2015,13:59:09,20.5,20.5,L,Classic
55,19,sicilian_l,1,1/1/2015,13:59:09,20.25,20.25,L,Supreme
56,20,big_meat_s,1,1/1/2015,14:03:08,12,12,S,Classic
57,20,five_cheese_l,1,1/1/2015,14:03:08,18.5,18.5,L,Veggie
58,21,ital_cpcllo_l,1,1/1/2015,14:14:29,20.5,20.5,L,Classic
59,22,five_cheese_l,1,1/1/2015,14:16:26,18.5,18.5,L,Veggie
60,22,ital_cpcllo_m,1,1/1/2015,14:16:26,16,16,M,Classic
61,22,southw_ckn_l,1,1/1/2015,14:16:26,20.75,20.75,L,Chicken
62,23,southw_ckn_s,1,1/1/2015,14:19:03,12.75,12.75,S,Chicken
63,24,bbq_ckn_m,1,1/1/2015,14:23:01,16.75,16.75,M,Chicken
64,24,ital_cpcllo_m,1,1/1/2015,14:23:01,16,16,M,Classic
65,24,pepperoni_m,1,1/1/2015,14:23:01,12.5,12.5,M,Classic
66,24,prsc_argla_s,1,1/1/2015,14:23:01,12.5,12.5,S,Supreme
67,25,sicilian_m,1,1/1/2015,14:44:44,16.25,16.25,M,Supreme
68,25,thai_ckn_l,1,1/1/2015,14:44:44,20.75,20.75,L,Chicken
69,26,classic_dlx_s,1,1/1/2015,14:54:26,12,12,S,Classic
70,26,veggie_veg_l,1,1/1/2015,14:54:26,20.25,20.25,L,Veggie
71,27,bbq_ckn_l,1,1/1/2015,15:11:17,20.75,20.75,L,Chicken
72,27,classic_dlx_m,1,1/1/2015,15:11:17,16,16,M,Classic
73,27,spinach_fet_l,1,1/1/2015,15:11:17,20.25,20.25,L,Veggie
74,28,ckn_alfredo_s,1,1/1/2015,15:35:46,12.75,12.75,S,Chicken
75,29,green_garden_s,1,1/1/2015,15:41:01,12,12,S,Veggie
76,30,thai_ckn_l,1,1/1/2015,15:41:25,20.75,20.75,L,Chicken
77,31,mexicana_m,1,1/1/2015,15:50:18,16,16,M,Veggie
78,31,pepperoni_s,1,1/1/2015,15:50:18,9.75,9.75,S,Classic
79,32,big_meat_s,1,1/1/2015,15:53:18,12,12,S,Classic
80,32,green_garden_l,1,1/1/2015,15:53:18,20.25,20.25,L,Veggie
81,32,ital_cpcllo_l,1,1/1/2015,15:53:18,20.5,20.5,L,Classic
82,32,ital_supr_m,1,1/1/2015,15:53:18,16.5,16.5,M,Supreme
83,33,bbq_ckn_l,1,1/1/2015,15:54:08,20.75,20.75,L,Chicken
84,33,green_garden_s,1,1/1/2015,15:54:08,12,12,S,Veggie
85,34,the_greek_s,1,1/1/2015,16:21:21,12,12,S,Classic
86,35,green_garden_m,1,1/1/2015,16:32:04,16,16,M,Veggie
87,35,pep_msh_pep_l,1,1/1/2015,16:32:04,17.5,17.5,L,Classic
88,35,pepperoni_m,1,1/1/2015,16:32:04,12.5,12.5,M,Classic
89,35,thai_ckn_l,1,1/1/2015,16:32:04,20.75,20.75,L,Chicken
90,36,bbq_ckn_m,1,1/1/2015,16:54:09,16.75,16.75,M,Chicken
91,36,classic_dlx_m,1,1/1/2015,16:54:09,16,16,M,Classic
92,37,ital_supr_l,1,1/1/2015,16:56:09,20.75,20.75,L,Supreme
93,37,mexicana_l,1,1/1/2015,16:56:09,20.25,20.25,L,Veggie
94,38,hawaiian_s,1,1/1/2015,17:03:00,10.5,10.5,S,Classic
95,38,ital_cpcllo_l,1,1/1/2015,17:03:00,20.5,20.5,L,Classic
96,39,ital_supr_l,1,1/1/2015,17:07:23,20.75,20.75,L,Supreme
97,40,four_cheese_l,1,1/1/2015,17:14:36,17.95,17.95,L,Veggie
98,40,southw_ckn_s,1,1/1/2015,17:14:36,12.75,12.75,S,Chicken
99,41,four_cheese_m,1,1/1/2015,17:15:20,14.75,14.75,M,Veggie
100,41,green_garden_s,1,1/1/2015,17:15:20,12,12,S,Veggie
101,42,big_meat_s,1,1/1/2015,17:28:09,12,12,S,Classic
102,42,five_cheese_l,1,1/1/2015,17:28:09,18.5,18.5,L,Veggie
103,42,mexicana_l,1,1/1/2015,17:28:09,20.25,20.25,L,Veggie
104,42,peppr_salami_m,1,1/1/2015,17:28:09,16.5,16.5,M,Supreme
105,43,ckn_alfredo_m,1,1/1/2015,17:38:34,16.75,16.75,M,Chicken
106,43,ital_supr_m,1,1/1/2015,17:38:34,16.5,16.5,M,Supreme
107,43,peppr_salami_l,1,1/1/2015,17:38:34,20.75,20.75,L,Supreme
108,44,spin_pesto_s,1,1/1/2015,17:54:20,12.5,12.5,S,Veggie
109,45,four_cheese_l,1,1/1/2015,17:55:48,17.95,17.95,L,Veggie
110,45,hawaiian_s,1,1/1/2015,17:55:48,10.5,10.5,S,Classic
111,45,thai_ckn_m,1,1/1/2015,17:55:48,16.75,16.75,M,Chicken
112,46,ckn_pesto_l,1,1/1/2015,18:25:51,20.75,20.75,L,Chicken
113,46,classic_dlx_l,1,1/1/2015,18:25:51,20.5,20.5,L,Classic
114,46,thai_ckn_m,1,1/1/2015,18:25:51,16.75,16.75,M,Chicken
115,47,southw_ckn_l,1,1/1/2015,18:26:34,20.75,20.75,L,Chicken
116,47,veggie_veg_s,1,1/1/2015,18:26:34,12,12,S,Veggie
117,48,ckn_pesto_m,1,1/1/2015,18:26:42,16.75,16.75,M,Chicken
118,48,green_garden_s,1,1/1/2015,18:26:42,12,12,S,Veggie
119,48,prsc_argla_l,1,1/1/2015,18:26:42,20.75,20.75,L,Supreme
120,48,spicy_ital_l,1,1/1/2015,18:26:42,20.75,20.75,L,Supreme
121,49,sicilian_l,1,1/1/2015,18:33:00,20.25,20.25,L,Supreme
122,50,the_greek_xl,1,1/1/2015,18:41:01,25.5,25.5,XL,Classic
123,51,bbq_ckn_l,1,1/1/2015,18:48:28,20.75,20.75,L,Chicken
124,51,pep_msh_pep_l,1,1/1/2015,18:48:28,17.5,17.5,L,Classic
125,52,hawaiian_l,1,1/1/2015,18:53:02,16.5,16.5,L,Classic
126,52,mexicana_l,1,1/1/2015,18:53:02,20.25,20.25,L,Veggie
127,52,spicy_ital_l,1,1/1/2015,18:53:02,20.75,20.75,L,Supreme
128,53,pep_msh_pep_s,1,1/1/2015,18:54:17,11,11,S,Classic
129,53,spinach_supr_m,1,1/1/2015,18:54:17,16.5,16.5,M,Supreme
130,54,prsc_argla_m,1,1/1/2015,19:01:45,16.5,16.5,M,Supreme
131,54,thai_ckn_l,1,1/1/2015,19:01:45,20.75,20.75,L,Chicken
132,55,peppr_salami_s,1,1/1/2015,19:03:19,12.5,12.5,S,Supreme
133,55,spicy_ital_l,1,1/1/2015,19:03:19,20.75,20.75,L,Supreme
134,56,classic_dlx_m,1,1/1/2015,19:07:00,16,16,M,Classic
135,56,mediterraneo_l,1,1/1/2015,19:07:00,20.25,20.25,L,Veggie
136,56,southw_ckn_m,1,1/1/2015,19:07:00,16.75,16.75,M,Chicken
137,57,classic_dlx_m,1,1/1/2015,19:10:51,16,16,M,Classic
138,58,five_cheese_l,1,1/1/2015,19:30:40,18.5,18.5,L,Veggie
139,58,pepperoni_m,1,1/1/2015,19:30:40,12.5,12.5,M,Classic
140,59,ital_veggie_s,1,1/1/2015,19:40:08,12.75,12.75,S,Veggie
141,59,pep_msh_pep_s,1,1/1/2015,19:40:08,11,11,S,Classic
142,59,pepperoni_l,1,1/1/2015,19:40:08,15.25,15.25,L,Classic
143,60,ckn_pesto_l,1,1/1/2015,20:05:16,20.75,20.75,L,Chicken
144,60,four_cheese_m,1,1/1/2015,20:05:16,14.75,14.75,M,Veggie
145,61,bbq_ckn_m,1,1/1/2015,20:08:43,16.75,16.75,M,Chicken
146,61,ital_supr_l,1,1/1/2015,20:08:43,20.75,20.75,L,Supreme
147,62,bbq_ckn_m,1,1/1/2015,20:50:16,16.75,16.75,M,Chicken
148,62,spinach_supr_m,1,1/1/2015,20:50:16,16.5,16.5,M,Supreme
149,63,pep_msh_pep_m,1,1/1/2015,20:51:42,14.5,14.5,M,Classic
150,64,big_meat_s,1,1/1/2015,20:52:08,12,12,S,Classic
151,65,pep_msh_pep_s,1,1/1/2015,21:16:00,11,11,S,Classic
152,65,sicilian_s,1,1/1/2015,21:16:00,12.25,12.25,S,Supreme
153,65,spicy_ital_s,1,1/1/2015,21:16:00,12.5,12.5,S,Supreme
154,65,spinach_supr_m,1,1/1/2015,21:16:00,16.5,16.5,M,Supreme
155,66,classic_dlx_m,1,1/1/2015,21:47:55,16,16,M,Classic
156,66,ital_cpcllo_m,1,1/1/2015,21:47:55,16,16,M,Classic
157,67,southw_ckn_l,1,1/1/2015,22:03:40,20.75,20.75,L,Chicken
158,68,classic_dlx_m,1,1/1/2015,22:07:32,16,16,M,Classic
159,68,ital_supr_l,1,1/1/2015,22:07:32,20.75,20.75,L,Supreme
160,68,ital_supr_m,1,1/1/2015,22:07:32,16.5,16.5,M,Supreme
161,69,bbq_ckn_l,1,1/1/2015,22:12:13,20.75,20.75,L,Chicken
162,70,ital_veggie_s,1,2/1/2015,11:38:51,12.75,12.75,S,Veggie
163,70,soppressata_l,1,2/1/2015,11:38:51,20.75,20.75,L,Supreme
164,71,thai_ckn_l,1,2/1/2015,11:40:50,20.75,20.75,L,Chicken
165,72,spinach_fet_l,1,2/1/2015,11:57:25,20.25,20.25,L,Veggie
166,73,thai_ckn_s,1,2/1/2015,11:58:56,12.75,12.75,S,Chicken
167,74,five_cheese_l,1,2/1/2015,12:01:12,18.5,18.5,L,Veggie
168,74,mexicana_l,1,2/1/2015,12:01:12,20.25,20.25,L,Veggie
169,74,spin_pesto_s,1,2/1/2015,12:01:12,12.5,12.5,S,Veggie
170,74,spinach_supr_l,1,2/1/2015,12:01:12,20.75,20.75,L,Supreme
171,75,ital_supr_s,1,2/1/2015,12:10:15,12.5,12.5,S,Supreme
172,75,mediterraneo_l,1,2/1/2015,12:10:15,20.25,20.25,L,Veggie
173,75,napolitana_l,1,2/1/2015,12:10:15,20.5,20.5,L,Classic
174,76,big_meat_s,1,2/1/2015,12:21:17,12,12,S,Classic
175,76,hawaiian_l,1,2/1/2015,12:21:17,16.5,16.5,L,Classic
176,76,ital_veggie_l,1,2/1/2015,12:21:17,21,21,L,Veggie
177,76,spicy_ital_l,1,2/1/2015,12:21:17,20.75,20.75,L,Supreme
178,77,bbq_ckn_m,1,2/1/2015,12:22:46,16.75,16.75,M,Chicken
179,77,hawaiian_m,1,2/1/2015,12:22:46,13.25,13.25,M,Classic
180,78,big_meat_s,1,2/1/2015,12:28:14,12,12,S,Classic
181,78,classic_dlx_s,1,2/1/2015,12:28:14,12,12,S,Classic
182,78,four_cheese_l,1,2/1/2015,12:28:14,17.95,17.95,L,Veggie
183,78,ital_cpcllo_m,1,2/1/2015,12:28:14,16,16,M,Classic
184,78,spicy_ital_l,3,2/1/2015,12:28:14,20.75,62.25,L,Supreme
185,78,thai_ckn_s,1,2/1/2015,12:28:14,12.75,12.75,S,Chicken
186,79,ital_cpcllo_l,1,2/1/2015,12:29:11,20.5,20.5,L,Classic
187,79,pep_msh_pep_s,1,2/1/2015,12:29:11,11,11,S,Classic
188,79,thai_ckn_l,1,2/1/2015,12:29:11,20.75,20.75,L,Chicken
189,80,pepperoni_s,1,2/1/2015,12:35:38,9.75,9.75,S,Classic
190,80,thai_ckn_m,1,2/1/2015,12:35:38,16.75,16.75,M,Chicken
191,81,thai_ckn_l,1,2/1/2015,12:40:01,20.75,20.75,L,Chicken
192,82,big_meat_s,1,2/1/2015,12:45:51,12,12,S,Classic
193,82,cali_ckn_m,1,2/1/2015,12:45:51,16.75,16.75,M,Chicken
194,82,spicy_ital_l,1,2/1/2015,12:45:51,20.75,20.75,L,Supreme
195,82,veggie_veg_m,1,2/1/2015,12:45:51,16,16,M,Veggie
196,83,southw_ckn_s,1,2/1/2015,12:53:27,12.75,12.75,S,Chicken
197,84,pepperoni_l,1,2/1/2015,13:13:41,15.25,15.25,L,Classic
198,85,classic_dlx_m,1,2/1/2015,13:34:49,16,16,M,Classic
199,85,classic_dlx_s,1,2/1/2015,13:34:49,12,12,S,Classic
